Unit,File Name,Path,Status,Flagged,Sample Rate (Hz),Samples,Duration (s),Number of Shots,Observation Type,Search Start (s),Search End (s),Onset Sample,Onset (s),Onset Within Shot1 (ms),Peak Sample,Peak Time (s),Peak-Onset Lag (ms),Response Stop (s),Response Duration (ms),Slope (dB/s),Decay Rate (-Slope) (dB/s),R^2,Drop Time (s),C2 (dB),Spectral Centroid (Hz),Spectral Bandwidth (Hz),Peak Frequency (Hz),Rolloff 85% (Hz),Low Power 1-10 kHz,High Power 10-30 kHz,High/Low Ratio,High Frequency Fraction,Total FFT Power
Delta,scam_0417_0703959189_698_ca0_scam04417_strike_creek_________01p02.wav,C:\Users\cmkua\Downloads\Concatenated Multishot WAVs\Delta\scam_0417_0703959189_698_ca0_scam04417_strike_creek_________01p02.wav,OK,False,100000,174000,1.74,29,29-shot,0.06899999999999999,0.079,7822.0,0.07822,18.22,7853.0,0.07853,0.31,0.08821999999999999,9.999999999999995,-15725.144842222553,15725.144842222553,0.9094576022733208,0.0005087393521819733,21.032866492881247,5989.3645644182825,3682.0664872484213,3400.0,8500.0,0.20140040546817614,0.027312772506926545,0.13561428758514746,0.11941486850619547,0.22872170650599935
Delta,scam_0418_0704038328_265_ca0_scam02418_little_beach_________01p02.wav,C:\Users\cmkua\Downloads\Concatenated Multishot WAVs\Delta\scam_0418_0704038328_265_ca0_scam02418_little_beach_________01p02.wav,OK,False,100000,174000,1.74,29,29-shot,0.06899999999999999,0.079,7209.0,0.07209,12.090000000000003,7240.0,0.0724,0.31,0.08209,9.999999999999995,-8268.138704280274,8268.138704280274,0.671690420364119,0.0009675696412614046,18.91603149569745,6840.836391336704,3258.056568251134,4700.0,9200.0,2.4136053913445754,0.25811776448037577,0.1069428189902174,0.09660627397701954,2.6718530159001492
Delta,scam_0420_0704221258_808_ca0_scam01420_broken_mountain______01p02.wav,C:\Users\cmkua\Downloads\Concatenated Multishot WAVs\Delta\scam_0420_0704221258_808_ca0_scam01420_broken_mountain______01p02.wav,OK,False,100000,174000,1.74,29,29-shot,0.06899999999999999,0.079,7514.0,0.07514,15.14,7535.0,0.07535,0.21000000000000002,0.08514,9.999999999999995,-5468.641338319978,5468.641338319978,0.9611285249834007,0.00146288620976882,9.370162208869235,5975.047066930826,2493.283760806221,4300.0,9100.0,0.8901024041626051,0.04743082289734417,0.05328692819560056,0.05059072252860366,0.9375399386819806
Delta,scam_0421_0704313596_618_ca0_scam05421_king_salmon__________01p02.wav,C:\Users\cmkua\Downloads\Concatenated Multishot WAVs\Delta\scam_0421_0704313596_618_ca0_scam05421_king_salmon__________01p02.wav,OK,False,100000,174000,1.74,29,29-shot,0.06899999999999999,0.079,7161.0,0.07161,11.609999999999996,7191.0,0.07191,0.3,0.08160999999999999,9.999999999999995,-24268.981800881418,24268.981800881418,0.8530516247636349,0.00032963888084128234,20.03567704458707,8070.044976648585,4332.536345933815,6900.0,11200.0,0.9748601135615304,0.2977090698633352,0.30538645055000974,0.2339303320895019,1.2726398804471046
Delta,scam_0425_0704668824_603_ca0_scam04425_lake_coville_________01p02.wav,C:\Users\cmkua\Downloads\Concatenated Multishot WAVs\Delta\scam_0425_0704668824_603_ca0_scam04425_lake_coville_________01p02.wav,OK,False,100000,174000,1.74,29,29-shot,0.06899999999999999,0.079,7878.0,0.07878,18.780000000000005,7891.0,0.07891,0.12999999999999998,0.08878,9.999999999999995,-2835.984568842138,2835.984568842138,0.8294410662771814,0.002820889820026842,13.949579728583824,7086.01773376566,3785.338599054797,4900.0,9700.0,0.2148894793503998,0.034645849746414964,0.1612263655305399,0.13883963074834574,0.24953861919448939
Delta,scam_0425_0704671054_732_ca0_scam05425_sukoi_bay____________01p02.wav,C:\Users\cmkua\Downloads\Concatenated Multishot WAVs\Delta\scam_0425_0704671054_732_ca0_scam05425_sukoi_bay____________01p02.wav,OK,False,100000,174000,1.74,29,29-shot,0.06899999999999999,0.079,7789.0,0.07789,17.890000000000004,7819.0,0.07819,0.3,0.08789,9.999999999999995,-2463.458634458104,2463.458634458104,0.9697327834723649,0.003247466747806703,8.679069081142796,6518.313679933059,3878.132872757334,4800.0,9100.0,0.19226361334556002,0.03013253636006242,0.15672511212979487,0.135487614979739,0.22240067008758316
Delta,scam_0441_0706089478_536_ca0_scam01441_little_devils_stairs_01p02.wav,C:\Users\cmkua\Downloads\Concatenated Multishot WAVs\Delta\scam_0441_0706089478_536_ca0_scam01441_little_devils_stairs_01p02.wav,OK,False,100000,174000,1.74,29,29-shot,0.06899999999999999,0.079,7478.0,0.07478,14.780000000000001,7500.0,0.075,0.22,0.08478,9.999999999999995,-4097.89657569107,4097.89657569107,0.913095160230872,0.0019522210607891876,15.077100010646463,6415.624698192646,3162.3167716963812,4400.0,9100.0,0.2589215574510884,0.02942624420414332,0.11364926309661214,0.10204446383012435,0.2883668853719476
Delta,scam_0441_0706090425_650_ca0_scam02441_bald_face_mountain___01p02.wav,C:\Users\cmkua\Downloads\Concatenated Multishot WAVs\Delta\scam_0441_0706090425_650_ca0_scam02441_bald_face_mountain___01p02.wav,OK,False,100000,174000,1.74,29,29-shot,0.06899999999999999,0.079,7352.0,0.07352,13.520000000000005,7382.0,0.07382,0.3,0.08352,9.999999999999995,-8041.083916063578,8041.083916063578,0.9411988084087186,0.0009948907489969723,17.708758524662077,6608.122083503534,2949.0852317292297,6600.0,9100.0,0.4370935507550446,0.05485479018729567,0.12549896948270767,0.11150083085760551,0.4919675464781885
Delta,scam_0443_0706267744_278_ca0_scam05443_moody_creek__________01p02.wav,C:\Users\cmkua\Downloads\Concatenated Multishot WAVs\Delta\scam_0443_0706267744_278_ca0_scam05443_moody_creek__________01p02.wav,OK,False,100000,174000,1.74,29,29-shot,0.06899999999999999,0.079,7339.0,0.07339,13.389999999999999,7367.0,0.07367,0.27999999999999997,0.08338999999999999,9.999999999999995,-8207.776703748992,8207.776703748992,0.8116117351347129,0.0009746853854279335,18.989268804527924,7273.551911022624,3506.1107294866533,8900.0,10200.0,0.27150388899533795,0.05243370444865902,0.19312321691848536,0.16185318188718803,0.32395844083686537
Delta,scam_0449_0706784270_740_ca0_scam15012_aegis_0449b__________01p02.wav,C:\Users\cmkua\Downloads\Concatenated Multishot WAVs\Delta\scam_0449_0706784270_740_ca0_scam15012_aegis_0449b__________01p02.wav,OK,False,100000,174000,1.74,29,29-shot,0.06899999999999999,0.079,7536.0,0.07536,15.36,7570.0,0.0757,0.34,0.08535999999999999,9.999999999999995,-3966.190226694657,3966.190226694657,0.9752828368603875,0.0020170489922938057,13.748058742594232,6329.282562344155,2376.8668136385327,4200.0,8500.0,3.1414067320749335,0.2876644304732274,0.0915718514053167,0.08388827250352468,3.429137612306187
Delta,scam_0449_0706799447_617_ca0_scam03449_south_river__________01p02.wav,C:\Users\cmkua\Downloads\Concatenated Multishot WAVs\Delta\scam_0449_0706799447_617_ca0_scam03449_south_river__________01p02.wav,OK,False,100000,174000,1.74,29,29-shot,0.06899999999999999,0.079,7510.0,0.0751,15.100000000000001,7541.0,0.07541,0.31,0.0851,9.999999999999995,-4367.078768508073,4367.078768508073,0.8718174997448336,0.0018318881852302936,17.551957485978637,6180.19318811928,2667.5137179329627,5400.0,7700.0,0.518652135832014,0.03682281880490376,0.0709971409754886,0.06628896109419245,0.5554894540069929
Delta,scam_0450_0706878610_992_ca0_scam15012_aegis_0450a__________01p02.wav,C:\Users\cmkua\Downloads\Concatenated Multishot WAVs\Delta\scam_0450_0706878610_992_ca0_scam15012_aegis_0450a__________01p02.wav,OK,False,100000,174000,1.74,29,29-shot,0.06899999999999999,0.079,7772.0,0.07772,17.72,7797.0,0.07797,0.25,0.08771999999999999,9.999999999999995,-9864.60900546186,9864.60900546186,0.946392587927592,0.0008109799380361189,18.588897334750833,6494.5304126786805,3513.7968353309634,3100.0,9400.0,0.2720632671162971,0.0323498169540074,0.11890549318507976,0.10626157555424753,0.3044356982782785
Delta,scam_0453_0707157719_889_ca0_scam02453_battle_river_________01p02.wav,C:\Users\cmkua\Downloads\Concatenated Multishot WAVs\Delta\scam_0453_0707157719_889_ca0_scam02453_battle_river_________01p02.wav,OK,False,100000,174000,1.74,29,29-shot,0.06899999999999999,0.079,7151.0,0.07151,11.510000000000007,7183.0,0.07183,0.32,0.08151,9.999999999999995,-3844.805218341531,3844.805218341531,0.8808685400362941,0.0020807295937480094,14.462351839963763,6606.965753670887,2206.6049361884648,6500.0,8100.0,6.182832465519098,0.3459873525563148,0.055959360776123894,0.05299201137628661,6.529047370923925
Delta,scam_0454_0707256160_466_ca0_scam07454_dakavak______________01p02.wav,C:\Users\cmkua\Downloads\Concatenated Multishot WAVs\Delta\scam_0454_0707256160_466_ca0_scam07454_dakavak______________01p02.wav,OK,False,100000,54000,0.54,9,9-shot,0.06899999999999999,0.079,7214.0,0.07214,12.139999999999999,7238.0,0.07238,0.24000000000000002,0.08213999999999999,9.999999999999995,-5350.0356486905575,5350.0356486905575,0.8352114807017316,0.0014953171390471075,16.074787246069057,7886.284414670111,4365.485858239753,7600.0,11500.0,0.9138410483199338,0.25446317466521773,0.2784545245948841,0.21776874678761513,1.1685018094602428
Delta,scam_0456_0707411338_725_ca0_scam15012_aegis_0456a__________01p02.wav,C:\Users\cmkua\Downloads\Concatenated Multishot WAVs\Delta\scam_0456_0707411338_725_ca0_scam15012_aegis_0456a__________01p02.wav,OK,False,100000,174000,1.74,29,29-shot,0.06899999999999999,0.079,7591.0,0.07591,15.910000000000007,7623.0,0.07623,0.32,0.08591,9.999999999999995,-10306.298908884533,10306.298908884533,0.9568390874432394,0.0007762243333640953,19.68853898495507,6474.448946627508,2629.6608755471293,6900.0,8700.0,0.642976405654626,0.03935407028977693,0.06120608772527171,0.05767479651584586,0.6823443283231108
Delta,scam_0457_0707501296_475_ca0_scam15012_aegis_0457b__________01p02.wav,C:\Users\cmkua\Downloads\Concatenated Multishot WAVs\Delta\scam_0457_0707501296_475_ca0_scam15012_aegis_0457b__________01p02.wav,OK,False,100000,174000,1.74,29,29-shot,0.06899999999999999,0.079,7246.0,0.07246,12.459999999999999,7269.0,0.07269,0.23,0.08245999999999999,9.999999999999995,-10956.554776403467,10956.554776403467,0.9747709690324099,0.0007301565285128828,19.558507335138305,7083.485612886353,3409.70141830961,3500.0,11200.0,0.977315461397326,0.23960704647426023,0.24516858265158295,0.19684610419623216,1.2172303203694623
Delta,scam_0457_0707509600_591_ca0_scam03457_furnace_mountain_____01p02.wav,C:\Users\cmkua\Downloads\Concatenated Multishot WAVs\Delta\scam_0457_0707509600_591_ca0_scam03457_furnace_mountain_____01p02.wav,OK,False,100000,174000,1.74,29,29-shot,0.06899999999999999,0.079,7300.0,0.073,12.999999999999998,7307.0,0.07307,0.06999999999999999,0.08299999999999999,9.999999999999995,-2543.226059007225,2543.226059007225,0.8950698774260881,0.003145611052413832,-0.8362556197819884,9801.404380983262,5155.377673837764,7900.0,15200.0,0.032991191126563,0.022691149215407665,0.6877941790085229,0.40749698672042184,0.0556842135153646
Delta,scam_0458_0707599716_998_ca0_scam03458_falls_hollow_________01p02.wav,C:\Users\cmkua\Downloads\Concatenated Multishot WAVs\Delta\scam_0458_0707599716_998_ca0_scam03458_falls_hollow_________01p02.wav,OK,False,100000,174000,1.74,29,29-shot,0.06899999999999999,0.079,7444.0,0.07444,14.440000000000008,7476.0,0.07476,0.32,0.08444,9.999999999999995,-7030.8387634607525,7030.8387634607525,0.8956695418881669,0.001137844326849874,15.821294258395785,5443.954635851891,2769.3675890159075,3700.0,7600.0,0.7072700940353173,0.036785537642126026,0.052010593905147014,0.04943805270331122,0.744073353027965
